"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,120.9,"ER visits/ 10,000 population 18+ years",109.7,132.1,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,84.0,"ER visits/ 10,000 population 18+ years",74.7,93.3,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,88.9,"ER visits/ 10,000 population 18+ years",79.4,98.4,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,97.5,"ER visits/ 10,000 population 18+ years",87.6,107.4,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,147.0,"ER visits/ 10,000 population 18+ years",134.9,159.1,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,144.3,"ER visits/ 10,000 population 18+ years",132.2,156.4,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53110,135.8,"ER visits/ 10,000 population 18+ years",124.2,147.4,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,54.9,"ER visits/ 10,000 population 18+ years",46.3,63.5,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,41.1,"ER visits/ 10,000 population 18+ years",33.6,48.6,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,42.8,"ER visits/ 10,000 population 18+ years",35.1,50.5,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,53.7,"ER visits/ 10,000 population 18+ years",44.9,62.5,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,80.1,"ER visits/ 10,000 population 18+ years",69.5,90.7,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,79.8,"ER visits/ 10,000 population 18+ years",69.3,90.3,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,76.6,"ER visits/ 10,000 population 18+ years",66.6,86.6,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,50.3,"ER visits/ 10,000 population 18+ years",39.2,61.4,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,31.1,"ER visits/ 10,000 population 18+ years",22.6,39.6,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,39.3,"ER visits/ 10,000 population 18+ years",29.7,48.9,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,36.4,"ER visits/ 10,000 population 18+ years",27.0,45.8,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,58.9,"ER visits/ 10,000 population 18+ years",46.8,71.0,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,55.9,"ER visits/ 10,000 population 18+ years",44.0,67.8,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,59.8,"ER visits/ 10,000 population 18+ years",47.8,71.8,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
