"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000101,7.3,"Percent of adults",6.2,8.7,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000101,7.7,"Percent of adults",6.6,9.1,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000101,7.5,"Percent of adults",6.2,8.8,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000101,8.9,"Percent of adults",7.6,10.4,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000101,8.6,"Percent of adults",7.3,10.0,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000101,8.1,"Percent of adults",6.9,9.3,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000102,6.6,"Percent of adults",5.8,7.6,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000102,8.2,"Percent of adults",7.2,9.3,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000102,8.4,"Percent of adults",7.3,9.6,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with COPD","This indicator shows the percentage of adults who have ever been told by a doctor they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis.","Census Tract",55079000102,8.2,"Percent of adults",7.2,9.3,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
