"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53110,4.3,"ER visits/ 10,000 population 18+ years",2.3,6.3,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53110,3.6,"ER visits/ 10,000 population 18+ years",1.8,5.4,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53110,4.1,"ER visits/ 10,000 population 18+ years",2.2,6.0,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53110,2.8,"ER visits/ 10,000 population 18+ years",1.3,4.3,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53129,3.4,"ER visits/ 10,000 population 18+ years",1.9,4.9,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53129,2.6,"ER visits/ 10,000 population 18+ years",1.3,3.9,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53129,2.4,"ER visits/ 10,000 population 18+ years",1.1,3.7,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53129,2.8,"ER visits/ 10,000 population 18+ years",1.4,4.2,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53129,2.4,"ER visits/ 10,000 population 18+ years",1.0,3.8,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Heart Failure","This indicator shows the age-adjusted emergency room visit rate due to heart failure per 10,000 population aged 18 years and older. Cases with a cardiac procedure are excluded.","Zip Code",53129,2.3,"ER visits/ 10,000 population 18+ years",1.0,3.6,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
